Provincias con mayor número de pernoctaciones;Viajeros y pernoctaciones;Residencia;Periodo;Total
02 Albacete;Viajero;Residentes en España;2014M07;3.829
02 Albacete;Viajero;Residentes en España;2014M06;3.207
02 Albacete;Viajero;Residentes en España;2014M05;2.927
02 Albacete;Viajero;Residentes en España;2014M04;3.867
02 Albacete;Viajero;Residentes en España;2014M03;2.370
02 Albacete;Viajero;Residentes en España;2014M02;2.011
02 Albacete;Viajero;Residentes en España;2014M01;1.648
02 Albacete;Viajero;Residentes en España;2013M12;3.730
02 Albacete;Viajero;Residentes en España;2013M11;3.483
02 Albacete;Viajero;Residentes en España;2013M10;3.231
02 Albacete;Viajero;Residentes en España;2013M09;1.880
02 Albacete;Viajero;Residentes en España;2013M08;4.543
02 Albacete;Viajero;Residentes en España;2013M07;2.568
02 Albacete;Viajero;Residentes en España;2013M06;1.927
02 Albacete;Viajero;Residentes en España;2013M05;1.710
02 Albacete;Viajero;Residentes en España;2013M04;1.929
02 Albacete;Viajero;Residentes en España;2013M03;3.357
02 Albacete;Viajero;Residentes en España;2013M02;1.234
02 Albacete;Viajero;Residentes en España;2013M01;881
02 Albacete;Viajero;Residentes en España;2012M12;5.502
02 Albacete;Viajero;Residentes en España;2012M11;2.867
02 Albacete;Viajero;Residentes en España;2012M10;4.747
02 Albacete;Viajero;Residentes en España;2012M09;2.576
02 Albacete;Viajero;Residentes en España;2012M08;6.033
02 Albacete;Viajero;Residentes en España;2012M07;2.848
02 Albacete;Viajero;Residentes en España;2012M06;1.835
02 Albacete;Viajero;Residentes en España;2012M05;2.249
02 Albacete;Viajero;Residentes en España;2012M04;4.559
02 Albacete;Viajero;Residentes en España;2012M03;3.941
02 Albacete;Viajero;Residentes en España;2012M02;1.692
02 Albacete;Viajero;Residentes en España;2012M01;791
02 Albacete;Viajero;Residentes en España;2011M12;4.342
02 Albacete;Viajero;Residentes en España;2011M11;3.115
02 Albacete;Viajero;Residentes en España;2011M10;4.582
02 Albacete;Viajero;Residentes en España;2011M09;2.705
02 Albacete;Viajero;Residentes en España;2011M08;6.567
02 Albacete;Viajero;Residentes en España;2011M07;4.056
02 Albacete;Viajero;Residentes en España;2011M06;1.889
02 Albacete;Viajero;Residentes en España;2011M05;2.472
02 Albacete;Viajero;Residentes en España;2011M04;5.518
02 Albacete;Viajero;Residentes en España;2011M03;4.024
02 Albacete;Viajero;Residentes en España;2011M02;2.188
02 Albacete;Viajero;Residentes en España;2011M01;2.041
